Probe_ID,logFC,t,adj.P.Val,CHR,MAPINFO,gene,feature,cgi,feat.cgi
cg08314021,-0.138778914,-18.90446932,1.64E-60,22,43547679,TSPO,5'UTR,island,5'UTR-island
cg22513169,-0.151745918,-18.07311723,3.92E-56,8,37756965,RAB11FIP1,5'UTR,island,5'UTR-island
cg08847724,-0.172791278,-17.08219712,7.54E-51,12,12420135,LRP6,TSS1500,island,TSS1500-island
cg00318865,-0.220158539,-15.28304105,1.95E-41,12,52345896,ACVR1B,Body,island,Body-island
cg19522900,-0.114721947,-15.16529629,6.28E-41,3,124303745,KALRN,1stExon,island,1stExon-island
cg04931063,-0.337071746,-15.12431653,8.48E-41,21,42540196,BACE2,1stExon,island,1stExon-island
cg10788213,0.301472452,14.96846475,4.54E-40,22,45719176,FAM118A,Body,opensea,Body-opensea
cg08449531,-0.091634259,-14.48121583,1.14E-37,17,48610095,EPN3,1stExon,shelf,1stExon-shelf
cg27005179,-0.211670212,-14.35472291,4.27E-37,17,37856786,ERBB2,5'UTR,island,5'UTR-island
cg13490966,-0.0648616,-14.3469132,4.27E-37,1,26496285,ZNF593,TSS200,island,TSS200-island
cg10631582,-0.11796723,-14.29258128,7.22E-37,20,10653947,JAG1,Body,island,Body-island
cg05604112,-0.241625878,-14.28127622,7.53E-37,2,38893237,GALM,5'UTR,opensea,5'UTR-opensea
cg19970200,-0.159707868,-14.02724003,1.24E-35,7,47621223,,IGR,island,IGR-island
cg18644710,-0.161711809,-13.84252532,9.23E-35,2,201172048,SPATS2L,5'UTR,island,5'UTR-island
cg01439669,-0.096595407,-13.7620491,2.12E-34,5,73936053,ENC1,5'UTR,island,5'UTR-island
cg03267342,-0.230550137,-13.63343311,8.32E-34,9,110252200,KLF4,TSS200,island,TSS200-island
cg24633648,-0.240590297,-13.61995657,9.09E-34,14,92302448,TC2N,5'UTR,island,5'UTR-island
cg05009141,-0.158284315,-13.44582313,5.89E-33,3,48471233,PLXNB1,5'UTR,island,5'UTR-island
cg16232504,-0.386461445,-13.35224914,1.56E-32,1,99127707,SNX7,Body,island,Body-island
cg03631331,-0.094522589,-13.27937775,3.29E-32,11,61519891,C11orf9,TSS1500,island,TSS1500-island
cg22869239,-0.325260635,-13.20624639,6.95E-32,12,12420086,LRP6,TSS1500,island,TSS1500-island
cg21395152,-0.087309162,-12.94246378,1.15E-30,1,212780243,ATF3,5'UTR,island,5'UTR-island
cg00562151,-0.09970295,-12.87603156,2.25E-30,22,30792888,SEC14L2,TSS200,island,TSS200-island
