Probe_ID,beta_diff,adj.P.Val,t,gene,feat.cgi,chr,coord,is_candidate
cg17872757,0.696206348,2.75E-121,29.35125797,FLI1,Body-island,11,128564180,TRUE
cg01588438,0.675597029,4.67E-216,47.21587557,ADHFE1,TSS200-island,8,67344553,TRUE
cg14015706,0.649239905,8.47E-165,37.19795927,C9orf50,1stExon-island,9,132382433,FALSE
cg11641611,0.67986363,1.21E-92,24.28753731,CCDC48,TSS200-island,3,128720323,FALSE
cg17892556,0.679532275,1.01E-106,26.78063362,ZNF625,1stExon-island,19,12267464,FALSE
cg18601167,0.635649759,2.97E-171,38.40782106,PRKAR1B,5'UTR-shore,7,752286,FALSE
cg21900495,0.649822945,4.54E-110,27.37098261,PDX1,Body-shore,13,28498161,TRUE
cg26256223,0.645602197,9.60E-192,42.33215601,OPLAH,Body-island,8,145106582,TRUE
cg02030008,0.650095652,3.48E-106,26.68499013,PTPRN2,Body-island,7,157476930,TRUE
cg09296001,0.627519907,2.35E-233,50.84577196,SND1,Body-island,7,127672564,TRUE
cg04398581,0.620659465,1.27E-124,29.94305337,KHDRBS2,TSS1500-shore,6,62996627,FALSE
cg05920961,0.692796899,6.80E-58,17.95688256,PPP2R5C,Body-island,14,102248253,TRUE
cg00817367,0.632108513,2.45E-127,30.42237014,GRASP,Body-island,12,52401214,TRUE
cg14642259,-0.594749422,3.35E-183,-40.67580714,MYBPC3,Body-shore,11,47359017,TRUE
cg16601494,0.601107138,9.79E-206,45.10903343,C1orf70,5'UTR-shore,1,1475737,FALSE
cg19485539,0.618318767,7.80E-103,26.09157341,GFRA1,5'UTR-island,10,118031870,TRUE
cg07576142,0.600871699,6.70E-134,31.58853507,GPC6,1stExon-island,13,93879769,TRUE
cg18023283,0.627953351,3.65E-104,26.32566787,SLC6A15,TSS1500-island,12,85306828,FALSE
cg05238517,0.605550899,3.51E-95,24.73716979,PDGFD,Body-shore,11,104034227,TRUE
cg07974511,0.593350704,1.38E-123,29.75891867,OTX1,Body-island,2,63283013,TRUE
cg17459204,0.600122976,3.24E-147,33.98225765,PREX2,TSS200-shore,8,68864523,TRUE
cg21842523,0.646168334,3.00E-69,20.07811213,LMO1,Body-island,11,8284746,TRUE
cg13324103,-0.59816132,9.49E-192,-42.33468189,SVIL,5'UTR-opensea,10,29948428,TRUE
cg11838152,-0.580878626,5.55E-191,-42.18232004,ITGBL1,Body-opensea,13,102359110,TRUE
cg14215472,0.594019845,3.74E-124,29.85931986,ANKRD13B,Body-island,17,27940404,FALSE
cg25842285,0.58272429,7.29E-120,29.09895039,CNNM1,1stExon-island,10,101089972,FALSE
cg03394150,0.631257446,1.77E-87,23.36922034,GSG1L,Body-island,16,28074384,TRUE
cg20286200,0.610483549,5.09E-102,25.94778932,EYA4,TSS1500-island,6,133562267,TRUE
cg27347269,0.588578409,5.80E-110,27.3522791,DOK6,TSS1500-island,18,67067867,FALSE
cg23749856,0.612089356,2.02E-101,25.84157594,CHST2,Body-island,3,142839837,TRUE
cg12584684,0.615538811,1.98E-76,21.3873734,UNC5C,TSS1500-shore,4,96471105,TRUE
cg07474842,-0.5817234,3.77E-81,-22.2373648,MAP3K5,Body-opensea,6,136915088,TRUE
cg04261408,0.604681369,1.54E-101,25.86248729,SDC2,Body-island,8,97506675,TRUE
cg26122980,0.599098652,2.81E-91,24.04555193,AMPH,5'UTR-island,7,38671001,TRUE
cg06217494,0.602180889,2.11E-81,22.28248155,GUCY1B3,Body-island,4,156680769,FALSE
cg13879483,0.600531533,1.05E-94,24.65315163,USP44,TSS1500-island,12,95942907,TRUE
cg17128947,0.560180721,5.96E-149,34.29734273,CPLX1,3'UTR-island,4,779480,FALSE
cg21938148,0.566554105,3.64E-135,31.8134399,COL4A1,Body-island,13,110958977,TRUE
cg05766140,0.573538411,3.34E-105,26.51085703,IRF4,TSS200-island,6,391743,TRUE
