Probe_ID,beta_diff,adj.P.Val,t,gene,feat.cgi,chr,coord,is_candidate
cg03306374,0.554370618,2.69E-14,8.784882948,PRKCB,1stExon-island,16,23847325,TRUE
cg19717586,0.538677393,3.83E-16,9.456715867,NTM,1stExon-island,11,131781257,TRUE
cg22674699,0.528605264,1.89E-16,9.56554224,HOXD9,1stExon-island,2,176987918,TRUE
cg17495912,0.506638884,3.01E-19,10.52849557,CCNA1,5'UTR-island,13,37006340,TRUE
cg15811515,0.504207259,2.84E-17,9.855769145,CSDAP1,TSS200-island,16,31580989,FALSE
cg20302133,0.493697858,1.61E-14,8.868558307,KCNA3,1stExon-island,1,111217194,TRUE
cg06304097,0.490631195,1.10E-15,9.290287468,TCERG1L,1stExon-island,10,133109867,TRUE
cg03544320,0.483617316,3.33E-21,11.22209535,CRMP1,1stExon-island,4,5894691,TRUE
cg17985646,0.482532487,1.43E-15,9.249539932,TBX20,TSS200-island,7,35293759,FALSE
cg18952796,0.469200413,1.59E-15,9.232811309,NPTX2,5'UTR-island,7,98246633,TRUE
cg17774559,0.468183337,2.07E-15,9.191763395,IRX4,Body-island,5,1879698,TRUE
cg14473102,0.467295807,2.47E-21,11.27088936,HOXD8,TSS200-island,2,176994448,TRUE
cg20852851,-0.463676453,1.47E-16,-9.604940452,HDAC4,Body-opensea,2,240168848,TRUE
cg16729415,0.460664169,1.93E-14,8.839674256,GJD2,TSS1500-island,15,35047203,FALSE
cg25397945,0.456896478,1.80E-21,11.31538111,ZNF529,Body-island,19,37096148,FALSE
cg00582971,0.456836103,1.56E-15,9.235937423,GRM6,TSS200-island,5,178422128,TRUE
cg16732616,0.454981653,1.30E-17,9.969364741,DMRTA2,Body-island,1,50886782,FALSE
cg04711162,0.447383166,4.42E-16,9.435340689,VSTM2B,1stExon-island,19,30017511,FALSE
cg21899596,0.447115236,7.53E-14,8.615994971,HOPX,1stExon-island,4,57522493,TRUE
cg12904880,0.433922196,4.00E-20,10.85034406,TRIM15,Body-island,6,30139832,TRUE
cg01699217,0.432414915,1.09E-13,8.55357955,BHLHE23,TSS200-island,20,61638488,TRUE
cg23906738,0.431599127,6.35E-15,9.018528015,NKX2-1,Body-island,14,36987301,TRUE
cg20928945,-0.429870602,3.45E-16,-9.472705794,ADAP1,Body-shore,7,960411,FALSE
cg06528306,0.429271857,2.03E-11,7.667873959,NPBWR1,1stExon-island,8,53852661,FALSE
cg12164282,0.427209972,6.19E-12,7.876710405,PXDN,1stExon-island,2,1748112,TRUE
cg14669274,0.422281753,2.37E-11,7.641476251,BAI1,Body-island,8,143592375,FALSE
cg20146541,0.421495311,7.17E-20,10.76241278,TRIM58,1stExon-island,1,248020697,TRUE
cg26521404,0.420719122,1.82E-18,10.25981495,HOXA9,1stExon-island,7,27204981,TRUE
cg23642130,0.419924785,2.13E-14,8.822565699,ZNF536,5'UTR-island,19,30866365,FALSE
cg08475953,0.418004356,1.92E-17,9.912235819,COL23A1,Body-island,5,178004091,TRUE
cg14754787,0.415171261,1.34E-19,10.66028003,LHX1,Body-island,17,35299600,TRUE
cg21179088,0.412386881,2.64E-13,8.407219888,VSTM2A,Body-island,7,54612333,TRUE
cg15187223,-0.411232978,3.47E-10,-7.157665657,RASA3,Body-shelf,13,114770074,FALSE
cg12122146,0.411145055,3.96E-11,7.54894329,TMEM132D,TSS200-island,12,130388216,TRUE
