Probe_ID,beta_diff,adj.P.Val,t,gene,feat.cgi,chr,coord,is_candidate
cg27260772,0.63882515,8E-129,29.61340951,TFAP2B,Body-island,6,50791202,TRUE
cg26107890,0.631134259,2.87E-66,19.17972698,SLC12A8,Body-island,3,124860686,FALSE
cg20555674,0.622966765,6.84E-113,27.02498033,ARL5C,Body-island,17,37321631,FALSE
cg22399133,0.621313235,2.52E-127,29.36896121,CRYGD,1stExon-island,2,208989248,TRUE
cg08204023,0.619524547,4.68E-102,25.23558874,GDNF,5'UTR-island,5,37835109,TRUE
cg10512745,0.618835202,2.94E-126,29.19555407,DMRTA2,Body-island,1,50884480,FALSE
cg22674699,0.617445912,7.8E-137,30.92000207,HOXD9,1stExon-island,2,176987918,TRUE
cg21039708,0.614904002,2.19E-136,30.84645262,OTX2OS1,TSS1500-island,14,57278729,FALSE
cg11201447,-0.610949139,5.71E-191,-39.99227785,MIR1204,TSS200-shore,8,128808063,TRUE
cg20691722,0.601636801,1.27E-89,23.17807662,SOX2OT,Body-opensea,3,181421427,FALSE
cg08668790,0.599383769,1.35E-89,23.17342497,ZNF154,TSS200-shore,19,58220662,TRUE
cg17774559,0.593826194,3.34E-164,35.42653705,IRX4,Body-island,5,1879698,TRUE
cg15811515,0.59063224,1.44E-110,26.63310681,CSDAP1,TSS200-island,16,31580989,FALSE
cg17510385,-0.584279603,7.28E-96,-24.21491842,TRIP13,Body-island,5,912821,TRUE
cg18180569,0.578149653,3.19E-86,22.60910695,RNF220,Body-island,1,44883362,FALSE
cg00907288,0.576161922,6.51E-110,26.52551721,SRGAP3,Body-shore,3,9178249,TRUE
cg06215569,0.573400092,2.68E-105,25.76788327,ALX3,Body-island,1,110611465,TRUE
cg10364040,0.573315262,1.38E-155,33.99715037,HOXD10,TSS1500-island,2,176981064,TRUE
cg20501518,0.573054931,1.22E-97,24.50848763,SHOX2,Body-shore,3,157821919,TRUE
cg25774643,0.571630153,9.95E-136,30.73930616,SCT,TSS200-island,11,627175,TRUE
cg23654401,-0.569614328,9.41E-109,-26.34631281,VOPP1,Body-opensea,7,55606442,TRUE
cg09803262,0.566299369,5.22E-176,37.40277307,DLX6AS,Body-opensea,7,96622608,FALSE
cg18121066,-0.565356707,1.14E-89,-23.18605795,TBCD,Body-shelf,17,80794274,TRUE
cg21472506,0.562947035,8.41E-124,28.79539724,OTX1,3'UTR-island,2,63283967,TRUE
cg17283169,-0.562214268,7.41E-71,-19.9848059,CALML3,3'UTR-island,10,5567524,FALSE
cg07551060,-0.560715536,3.38E-139,-31.32130441,GRK5,Body-opensea,10,121075316,TRUE
cg21629500,0.56070871,5.91E-79,21.37940391,C5orf38,Body-island,5,2754753,FALSE
cg01381846,0.559415761,3.11E-158,34.43249589,HOXA9,1stExon-island,7,27204785,TRUE
cg14861089,0.5570362,1.14E-68,19.60327733,TLX1,Body-island,10,102895043,TRUE
cg27109129,0.555376401,1.83E-107,26.12454715,CXCL5,Body-island,4,74864165,TRUE
cg14559259,0.555312529,1.33E-96,24.33664217,CCDC140,5'UTR-shore,2,223168575,FALSE
cg12374721,0.55235697,1.07E-100,25.0129444,C17orf93,TSS1500-shore,17,46799640,FALSE
cg20970886,-0.550979391,1.47E-120,-28.27863992,C3orf59,Body-opensea,3,192568714,FALSE
cg02466815,0.546748767,2.42E-77,21.10991834,HOXD1,Body-shore,2,177054573,FALSE
cg19043574,0.546654103,3.55E-82,21.93372658,C2orf55,Body-island,2,99439533,FALSE
cg20318166,0.546258032,1.06E-114,27.31064079,ALPK3,1stExon-shore,15,85360664,FALSE
cg19987768,0.542071598,3.97E-88,22.93622065,NXN,Body-opensea,17,750306,TRUE
cg08610862,0.540332054,7.24E-112,26.84534229,LHX9,Body-shore,1,197888469,FALSE
cg25649765,-0.539363499,2.52E-130,-29.87372455,GREB1,TSS1500-opensea,2,11672761,TRUE
cg26720125,0.538900859,9.45E-87,22.69786994,SIM2,Body-island,21,38077673,TRUE
cg16731240,0.538068481,2.42E-84,22.29244771,ZNF577,TSS200-island,19,52391250,FALSE
cg04915044,0.537245641,1.2E-99,24.84833974,POLR1A,Body-opensea,2,86263895,FALSE
cg07636194,0.536257965,9.24E-59,17.83753674,HIST1H2BK,3'UTR-island,6,27107282,FALSE
cg24377694,-0.535051091,1.01E-116,-27.64005815,PDYN,TSS1500-opensea,20,1975372,TRUE
cg15391590,-0.533168189,5.18E-106,-25.89519638,ICK,5'UTR-opensea,6,52913427,FALSE
cg08393041,0.532228557,1.97E-112,26.93830314,ZIC4,Body-island,3,147109426,TRUE
cg06890747,0.530763341,2.13E-59,17.95369169,LOC646999,Body-island,7,39649290,FALSE
cg18372607,0.530276122,9.38E-112,26.82690058,PAX6,Body-shore,11,31827084,TRUE
cg06051311,-0.526598547,9.51E-144,-32.06721647,TRIM15,5'UTR-opensea,6,30131001,TRUE
cg07860213,0.526181516,3.92E-125,29.0118641,PRDM14,Body-island,8,70982039,TRUE
cg00090261,0.526172848,5.7E-87,22.73457196,RGS22,TSS1500-island,8,101118548,TRUE
cg05311410,0.525667513,2.7E-85,22.45301018,HOXA11AS,Body-island,7,27225523,FALSE
cg04415798,0.524095514,1.31E-99,24.83320005,PAX9,5'UTR-shore,14,37128586,TRUE
cg17437939,0.52399183,7.55E-73,20.33083853,TAC1,TSS200-island,7,97361252,TRUE
cg04021697,0.522272697,2.36E-100,24.9558305,WDR8,TSS1500-island,1,3567303,FALSE
cg25397945,0.521883963,1.05E-65,19.07991025,ZNF529,Body-island,19,37096148,FALSE
cg06544111,0.521504599,2.85E-114,27.25137809,EVX1,TSS1500-shore,7,27281344,TRUE
cg08835113,0.519099884,1.47E-80,21.65876533,DLX5,Body-shore,7,96650192,TRUE
cg27252696,0.517945419,1.11E-95,24.18421389,SIM1,TSS1500-island,6,100912940,TRUE
cg21185289,0.517824515,1.5E-85,22.49586233,TLX2,3'UTR-island,2,74743437,TRUE
cg12598524,0.517792112,6.14E-100,24.89677051,PRKCE,Body-opensea,2,46088325,TRUE
cg15267232,0.517759252,5.05E-65,18.9592617,GATA3,Body-island,10,8097689,TRUE
cg21179088,0.51712188,5.52E-82,21.89451554,VSTM2A,Body-island,7,54612333,TRUE
cg26256223,0.516647492,1.64E-55,17.24086834,OPLAH,Body-island,8,145106582,FALSE
cg22274117,-0.516028438,2.16E-161,-34.98105362,ATXN1,5'UTR-opensea,6,16713613,TRUE
cg22833612,0.515121404,9.76E-136,30.75702086,ASAP2,Body-opensea,2,9487886,TRUE
cg23054189,0.514518578,6.61E-72,20.16760766,TRIM58,1stExon-island,1,248020692,TRUE
cg01295188,-0.513020487,7.39E-100,-24.88326876,SLC9A3,Body-island,5,476791,FALSE
cg04389897,0.512735568,3.39E-98,24.60054559,TFAP2A,3'UTR-island,6,10398601,TRUE
cg25830182,0.51168999,3.09E-84,22.28153392,NKX6-1,Body-shore,4,85417077,FALSE
cg06968859,-0.511155732,3.08E-116,-27.57312855,CTNNA2,Body-opensea,2,80724209,TRUE
cg14654171,-0.510312068,9.92E-178,-37.72058508,GARNL3,Body-opensea,9,130151001,FALSE
cg01405040,0.508242007,1.96E-132,30.20168783,HOXD12,TSS1500-island,2,176964137,FALSE
cg18862481,0.50824022,1.78E-93,23.81799033,TRH,5'UTR-island,3,129693370,TRUE
cg19760241,0.508053073,1.62E-127,29.39997341,LHX1,Body-island,17,35300010,TRUE
cg06833110,0.507879594,3.14E-104,25.59254944,MEIS1,Body-island,2,66673316,TRUE
cg09238180,0.507609368,4.03E-87,22.7597697,HOXD8,TSS1500-island,2,176993632,TRUE
cg07537821,-0.507483445,1.6E-175,-37.34571172,CRTAM,Body-opensea,11,122727440,TRUE
cg07936950,0.506498404,2.23E-87,22.80298513,DLX1,3'UTR-island,2,172953134,TRUE
cg18980148,0.506010997,1.42E-81,21.83122964,ST3GAL1,5'UTR-opensea,8,134552558,TRUE
cg13784235,0.50584492,6.7E-130,29.78930585,NR2E1,Body-island,6,108495865,TRUE
cg22061831,0.50427514,1.6E-90,23.32779318,ARHGEF4,Body-island,2,131721692,FALSE
cg11260046,0.503816437,1.75E-94,23.98561904,MEI1,1stExon-island,22,42095536,FALSE
cg18322569,0.503338022,5.67E-70,19.83064629,BARHL2,5'UTR-island,1,91182777,FALSE
cg00366850,0.502884848,1.55E-114,27.28325562,SIX2,3'UTR-island,2,45232417,TRUE
cg03352106,0.501729779,6.03E-147,32.57456452,KCNJ8,Body-opensea,12,21926476,TRUE
cg05084668,-0.501622482,2.18E-71,-20.08244113,ALG1L,5'UTR-opensea,3,125655381,FALSE
cg19050555,-0.501473672,1.18E-98,-24.68555212,TUBA1C,Body-shelf,12,49662405,FALSE
cg24702069,-0.500899928,1.74E-138,-31.20549585,MYO16,Body-opensea,13,109352806,FALSE
cg17318529,0.500657009,3.25E-59,17.91647469,WNT3A,Body-island,1,228196198,TRUE
cg10395685,0.500310893,2.51E-97,24.46580783,CCDC81,TSS200-island,11,86085715,FALSE
cg06510261,-0.498408954,8.73E-105,-25.69370774,GCET2,TSS200-opensea,3,111852227,FALSE
cg17542408,0.498058552,3.39E-82,21.93050561,ODZ4,Body-island,11,78673100,FALSE
cg05876174,0.497031988,2.58E-73,20.41138407,IRX2,Body-shore,5,2747922,TRUE
cg13300273,0.495817028,2.37E-83,22.12531407,GPR25,1stExon-island,1,200842890,FALSE
cg17174023,0.495398662,1.54E-115,27.45856836,KLHDC7B,1stExon-island,22,50987453,TRUE
cg08582485,0.495356083,1.07E-89,23.19087395,C20orf56,Body-island,20,22557518,FALSE
cg06389019,-0.495098602,7.09E-97,-24.39107575,SLC9A3R1,Body-opensea,17,72755647,TRUE
cg25136495,0.494482537,1.69E-157,34.31050057,LPAR5,Body-island,12,6729718,TRUE
cg03794445,-0.493856258,1.46E-86,-22.67345728,LOC642587,Body-opensea,1,209605401,FALSE
cg03091551,0.493700381,4.25E-129,29.65871358,OTX2,5'UTR-island,14,57275967,TRUE
cg01610231,0.493612601,5.82E-111,26.69721085,PITX2,5'UTR-island,4,111555314,TRUE
cg01452847,0.493456859,3.29E-65,18.99226101,MIR196A1,TSS1500-island,17,46711341,TRUE
cg06158650,0.491988003,4.55E-135,30.63174873,TBX15,5'UTR-island,1,119522637,TRUE
cg03048654,0.490999621,1.31E-97,24.50321586,VAX1,3'UTR-shore,10,118893138,FALSE
cg00097146,0.49008608,2.5E-124,28.88035997,SIX3,Body-island,2,45171818,TRUE
cg27407147,0.490053905,4.99E-106,25.88780317,LOC254559,TSS1500-island,15,89920824,FALSE
cg19473529,0.489461684,6.28E-104,25.55284647,UBE2V1,Body-shelf,20,48726783,TRUE
