Probe_ID,logFC,t,adj.P.Val,CHR,MAPINFO,gene,feature,cgi,feat.cgi
cg00504134,-0.015886139,-9.490879037,7.96E-10,3,152552530,P2RY1,TSS1500,shore,TSS1500-shore
cg24589858,-0.015579229,-7.162438191,3.04E-05,4,48113025,TXK,Body,opensea,Body-opensea
cg11263296,0.025471471,7.09882611,3.04E-05,12,120428313,CCDC64,Body,shore,Body-shore
cg00200469,0.01522127,6.885716657,6.23E-05,9,32573832,NDUFB6,TSS1500,shore,TSS1500-shore
cg26037602,0.105764722,6.621256104,0.000159802,11,57144191,,IGR,opensea,IGR-opensea
cg04737885,0.03350775,6.596597235,0.000159802,16,4014095,ADCY9,3'UTR,shore,3'UTR-shore
cg09022552,-0.01681563,-6.549103669,0.000170611,16,28962119,NFATC2IP,TSS200,island,TSS200-island
cg10704545,0.014878695,6.412918721,0.000279364,1,193075590,GLRX2,TSS1500,shore,TSS1500-shore
cg10170504,-0.04410809,-6.367599071,0.00029292,7,130698652,FLJ43663,Body,opensea,Body-opensea
cg09486764,0.016300029,6.341135123,0.00029292,12,26288294,,IGR,opensea,IGR-opensea
cg27563174,-0.01882509,-6.332942675,0.00029292,19,35760861,USF2,Body,island,Body-island
cg24506533,-0.006066511,-6.31221089,0.00029514,3,12705886,RAF1,TSS200,island,TSS200-island
cg06638913,0.01016889,6.268444583,0.000332507,2,235883680,SH3BP4,5'UTR,opensea,5'UTR-opensea
cg23163013,-0.004804482,-6.235369174,0.000358809,1,3606892,TP73,TSS1500,shore,TSS1500-shore
cg15237265,-0.010814302,-6.165737218,0.000448949,18,53257153,TCF4,TSS1500,island,TSS1500-island
cg02766680,-0.0047949,-6.152698504,0.000448949,3,37458845,C3orf35,Body,opensea,Body-opensea
cg20518511,0.028934509,6.137489984,0.000448949,7,5458901,TNRC18,Body,island,Body-island
cg07799395,-0.014761799,-6.130258974,0.000448949,5,125577565,,IGR,opensea,IGR-opensea
cg16308694,-0.021969182,-6.103513113,0.000479776,14,68086880,ARG2,Body,island,Body-island
cg02904628,0.008960589,6.084435264,0.000493969,2,153246299,FMNL2,Body,opensea,Body-opensea
cg03128421,-0.006836366,-6.065889515,0.000493969,2,55647401,CCDC88A,TSS1500,shore,TSS1500-shore
cg09366641,-0.010989183,-6.064412583,0.000493969,1,153643528,ILF2,TSS200,island,TSS200-island
cg15220605,-0.03891696,-5.988224785,0.000664603,17,80393595,HEXDC,Body,island,Body-island
cg00509921,-0.023348872,-5.977908487,0.00066527,16,79632331,MAF,3'UTR,shore,3'UTR-shore
cg08835258,-0.008605985,-5.969320435,0.00066527,16,2285252,DNASE1L2,TSS1500,island,TSS1500-island
cg19638132,-0.005327455,-5.957810463,0.000673371,11,59521665,STX3,TSS1500,shore,TSS1500-shore
cg01885839,-0.004552784,-5.946680814,0.000675057,5,111017556,,IGR,opensea,IGR-opensea
cg04737758,-0.002629711,-5.940613247,0.000675057,14,74824136,C14orf115,Body,island,Body-island
cg10803829,-0.002890278,-5.897138054,0.000789976,17,7690246,DNAH2,Body,island,Body-island
cg00495036,0.006460815,5.88582875,0.000789976,2,158733490,ACVR1,TSS1500,opensea,TSS1500-opensea
cg25834692,-0.016775435,-5.878440713,0.000789976,3,29535414,RBMS3,Body,opensea,Body-opensea
cg04062567,-0.035144646,-5.875159738,0.000789976,6,27861237,HIST1H2AM,TSS1500,shore,TSS1500-shore
cg02555727,-0.028239553,-5.859642363,0.000805383,12,129281546,SLC15A4,Body,shore,Body-shore
cg00759427,0.078229473,5.857109822,0.000805383,20,62708630,RGS19,5'UTR,shelf,5'UTR-shelf
cg20801464,-0.022797673,-5.817406009,0.000911236,18,3454953,TGIF1,5'UTR,shelf,5'UTR-shelf
cg18318552,-0.033648788,-5.816234798,0.000911236,11,1083236,MUC2,Body,island,Body-island
cg18364576,-0.0100331,-5.795690403,0.000951721,14,53417060,FERMT2,Body,shore,Body-shore
cg13754922,-0.00562003,-5.794113721,0.000951721,9,124922158,NDUFA8,TSS200,island,TSS200-island
cg06263250,0.004756364,5.780836977,0.000983148,11,10930482,,IGR,opensea,IGR-opensea
cg23590404,0.02846495,5.758139252,0.001014711,8,11071946,,IGR,opensea,IGR-opensea
cg00817598,0.009826496,5.744333699,0.001014711,17,44897512,WNT3,TSS1500,shore,TSS1500-shore
cg22215728,0.040213497,5.743851166,0.001014711,3,61236652,FHIT,5'UTR,island,5'UTR-island
cg20448447,0.007010411,5.74272918,0.001014711,12,122255296,SETD1B,Body,island,Body-island
cg16927379,0.011372639,5.741586425,0.001014711,8,140950075,TRAPPC9,Body,opensea,Body-opensea
cg05565277,0.006945378,5.741085177,0.001014711,16,2502146,CCNF,Body,opensea,Body-opensea
cg09070522,-0.011591555,-5.717723857,0.00103831,4,57774717,REST,5'UTR,island,5'UTR-island
cg24742505,-0.01627859,-5.717137512,0.00103831,14,21078306,,IGR,shore,IGR-shore
cg06106242,0.031816169,5.716992019,0.00103831,16,68482941,SMPD3,TSS1500,shore,TSS1500-shore
cg15956469,-0.029327629,-5.716416949,0.00103831,12,10465272,KLRD1,Body,opensea,Body-opensea
cg11736228,0.048655399,5.696762731,0.001108948,10,101418244,ENTPD7,TSS1500,shore,TSS1500-shore
cg04221624,-0.003206005,-5.685668987,0.001135699,10,72274527,KIAA1274,5'UTR,opensea,5'UTR-opensea
cg18881723,0.05466107,5.68233619,0.001135699,1,160616870,SLAMF1,5'UTR,opensea,5'UTR-opensea
cg19057899,-0.057535087,-5.666969612,0.001162835,17,47093955,IGF2BP1,Body,shore,Body-shore
cg08641990,0.046158135,5.666692397,0.001162835,1,54822503,SSBP3,Body,shore,Body-shore
cg16588073,-0.019203175,-5.664078355,0.001162835,1,156647247,NES,TSS200,island,TSS200-island
cg14318942,-0.008193852,-5.653300323,0.001197025,4,114683204,CAMK2D,TSS200,shore,TSS200-shore
cg06715136,-0.04302868,-5.63525021,0.001271306,7,158046025,PTPRN2,Body,opensea,Body-opensea
cg21640654,-0.01367929,-5.630034851,0.001271306,2,234389140,USP40,Body,shelf,Body-shelf
cg02773403,-0.006744528,-5.6274879,0.001271306,10,62053458,ANK3,Body,opensea,Body-opensea
cg15121364,-0.020770339,-5.62235499,0.001278336,19,40324993,DYRK1B,TSS200,island,TSS200-island
cg11723801,0.035964981,5.616568114,0.00128766,1,156646485,NES,1stExon,island,1stExon-island
cg12812068,0.050352316,5.613138729,0.00128766,1,47016114,KNCN,Body,opensea,Body-opensea
cg02123667,-0.014064832,-5.586557086,0.001408894,8,127570702,FAM84B,TSS1500,island,TSS1500-island
cg01856141,-0.008605538,-5.578937613,0.001408894,3,52804944,NEK4,5'UTR,island,5'UTR-island
cg26387796,-0.017591425,-5.576547562,0.001408894,7,150147927,GIMAP8,TSS200,opensea,TSS200-opensea
cg25901000,-0.013306695,-5.574665618,0.001408894,17,70944516,SLC39A11,Body,opensea,Body-opensea
cg25661992,-0.005294516,-5.574517656,0.001408894,15,45927255,SQRDL,1stExon,island,1stExon-island
cg10645943,-0.005620526,-5.56266505,0.001447816,17,79980825,LRRC45,TSS1500,island,TSS1500-island
cg00996986,0.006325524,5.561427639,0.001447816,22,42896573,SERHL,TSS200,shore,TSS200-shore
cg03209166,-0.010618233,-5.553161923,0.001479076,12,11324535,PRH1,TSS1500,shore,TSS1500-shore
cg22376706,0.019042927,5.549046898,0.001482075,12,71314612,PTPRR,TSS200,opensea,TSS200-opensea
cg25103161,0.039882363,5.546175797,0.001482075,5,179230709,MGAT4B,Body,shore,Body-shore
cg26560656,-0.011546539,-5.535728133,0.001529248,18,77711462,PQLC1,5'UTR,island,5'UTR-island
cg24580066,-0.003344703,-5.524161756,0.001570973,20,18037540,OVOL2,Body,island,Body-island
cg24065044,-0.010192224,-5.523089481,0.001570973,11,27723409,BDNF,TSS1500,shore,TSS1500-shore
cg09972077,-0.013174956,-5.520154779,0.001570973,17,57232291,SKA2,Body,island,Body-island
cg01889237,0.024414157,5.509525596,0.001610553,6,137816623,OLIG3,TSS1500,island,TSS1500-island
cg24384918,0.093249806,5.506705976,0.001610553,7,43153950,HECW1,5'UTR,shore,5'UTR-shore
cg16885779,-0.007920141,-5.505396291,0.001610553,17,840975,NXN,Body,opensea,Body-opensea
cg19189291,-0.001969151,-5.498494629,0.001638387,17,10571935,,IGR,opensea,IGR-opensea
